depth.mbsf,trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
37.5,2,21:50:00,sample,mub-nag,3,live,800,579.81
37.5,2,21:50:00,sample,mub-b-glu,1,live,800,702.66
37.5,2,21:50:00,sample,mub-b-glu,2,live,800,669.57
37.5,2,21:50:00,sample,mub-b-glu,3,live,800,864.86
37.5,2,21:50:00,sample,mub-a-glu,1,live,800,160.36
37.5,2,21:50:00,sample,mub-a-glu,2,live,800,167.85
37.5,2,21:50:00,sample,mub-a-glu,3,live,800,282.76
37.5,2,21:50:00,sample,leu-amc,1,live,800,1925.1
37.5,2,21:50:00,sample,leu-amc,2,live,800,1921.74
37.5,2,21:50:00,sample,leu-amc,3,live,800,1806.29
37.5,2,21:50:00,sample,arg-amc,1,live,800,1301.19
37.5,2,21:50:00,sample,arg-amc,2,live,800,1275.56
37.5,2,21:50:00,sample,arg-amc,3,live,800,1230.72
37.5,2,21:50:00,sample,pro-amc,1,live,800,1967.04
37.5,2,21:50:00,sample,pro-amc,2,live,800,2038.07
37.5,2,21:50:00,sample,pro-amc,3,live,800,1897.26
37.5,2,21:50:00,sample,orn-amc,1,live,800,1072.14
37.5,2,21:50:00,sample,orn-amc,2,live,800,1458.79
37.5,2,21:50:00,sample,orn-amc,3,live,800,1305.33
37.5,2,21:50:00,sample,phe-arg-amc,1,live,800,1330.54
37.5,2,21:50:00,sample,phe-arg-amc,2,live,800,1080.44
37.5,2,21:50:00,sample,phe-arg-amc,3,live,800,916.49
37.5,2,21:50:00,sample,phe-val-arg-amc,1,live,800,1612.26
37.5,2,21:50:00,sample,phe-val-arg-amc,2,live,800,1477.7
37.5,2,21:50:00,sample,phe-val-arg-amc,3,live,800,2003.35
37.5,2,21:50:00,sample,mub-po4,1,killed,800,2315.33
37.5,2,21:50:00,sample,mub-po4,2,killed,800,
37.5,2,21:50:00,sample,mub-po4,3,killed,800,
37.5,2,21:50:00,sample,mub-xylo,1,killed,800,186.04
37.5,2,21:50:00,sample,mub-xylo,2,killed,800,195.41
37.5,2,21:50:00,sample,mub-xylo,3,killed,800,184.16
37.5,2,21:50:00,sample,mub-cell,1,killed,800,208.19
37.5,2,21:50:00,sample,mub-cell,2,killed,800,171.64
37.5,2,21:50:00,sample,mub-cell,3,killed,800,227.86
37.5,2,21:50:00,sample,mub-nag,1,killed,800,231.86
37.5,2,21:50:00,sample,mub-nag,2,killed,800,365.65
37.5,2,21:50:00,sample,mub-nag,3,killed,800,263.45
37.5,2,21:50:00,sample,mub-b-glu,1,killed,800,218.12
37.5,2,21:50:00,sample,mub-b-glu,2,killed,800,250.33
37.5,2,21:50:00,sample,mub-b-glu,3,killed,800,204.97
37.5,2,21:50:00,sample,mub-a-glu,1,killed,800,214.38
37.5,2,21:50:00,sample,mub-a-glu,2,killed,800,195.92
37.5,2,21:50:00,sample,mub-a-glu,3,killed,800,172.79
37.5,2,21:50:00,sample,leu-amc,1,killed,800,517.76
37.5,2,21:50:00,sample,leu-amc,2,killed,800,669.13
37.5,2,21:50:00,sample,leu-amc,3,killed,800,
37.5,2,21:50:00,sample,arg-amc,1,killed,800,384.24
37.5,2,21:50:00,sample,arg-amc,2,killed,800,306.72
37.5,2,21:50:00,sample,arg-amc,3,killed,800,407.68
37.5,2,21:50:00,sample,pro-amc,1,killed,800,346.4
37.5,2,21:50:00,sample,pro-amc,2,killed,800,336.08
37.5,2,21:50:00,sample,pro-amc,3,killed,800,304.29
37.5,2,21:50:00,sample,orn-amc,1,killed,800,1424.63
37.5,2,21:50:00,sample,orn-amc,2,killed,800,1160.95
