trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
1,22:14:00,sample,pro-amc,2,live,800,6748.38
1,22:14:00,sample,pro-amc,3,live,800,6830.87
1,22:14:00,sample,orn-amc,1,live,800,11409.23
1,22:14:00,sample,orn-amc,2,live,800,13415.35
1,22:14:00,sample,orn-amc,3,live,800,16070.89
1,22:14:00,sample,phe-arg-amc,1,live,800,23147.13
1,22:14:00,sample,phe-arg-amc,2,live,800,21323.75
1,22:14:00,sample,phe-arg-amc,3,live,800,23341.2
1,22:14:00,sample,phe-val-arg-amc,1,live,800,49902.05
1,22:14:00,sample,phe-val-arg-amc,2,live,800,57597.06
1,22:14:00,sample,phe-val-arg-amc,3,live,800,56143.66
1,22:14:00,sample,mub-po4,1,killed,800,83632.53
1,22:14:00,sample,mub-po4,2,killed,800,77577.32
1,22:14:00,sample,mub-po4,3,killed,800,67844.55
1,22:14:00,sample,mub-xylo,1,killed,800,3864.47
1,22:14:00,sample,mub-xylo,2,killed,800,2658.8
1,22:14:00,sample,mub-xylo,3,killed,800,2808.73
1,22:14:00,sample,mub-cell,1,killed,800,2851.04
1,22:14:00,sample,mub-cell,2,killed,800,2894.94
1,22:14:00,sample,mub-cell,3,killed,800,3084.41
1,22:14:00,sample,mub-nag,1,killed,800,4351.17
1,22:14:00,sample,mub-nag,2,killed,800,4758.18
1,22:14:00,sample,mub-nag,3,killed,800,3409.68
1,22:14:00,sample,mub-b-glu,1,killed,800,2215.67
1,22:14:00,sample,mub-b-glu,2,killed,800,2794.11
1,22:14:00,sample,mub-b-glu,3,killed,800,2870.86
1,22:14:00,sample,mub-a-glu,1,killed,800,3035.6
1,22:14:00,sample,mub-a-glu,2,killed,800,3358.11
1,22:14:00,sample,mub-a-glu,3,killed,800,3284.37
1,22:14:00,sample,leu-amc,1,killed,800,16111.83
1,22:14:00,sample,leu-amc,2,killed,800,16984.43
1,22:14:00,sample,leu-amc,3,killed,800,11456.78
1,22:14:00,sample,arg-amc,1,killed,800,7801.66
1,22:14:00,sample,arg-amc,2,killed,800,14093
1,22:14:00,sample,arg-amc,3,killed,800,13336.01
1,22:14:00,sample,pro-amc,1,killed,800,10614.03
1,22:14:00,sample,pro-amc,2,killed,800,12989.41
1,22:14:00,sample,pro-amc,3,killed,800,10538.69
1,22:14:00,sample,orn-amc,1,killed,800,29660.47
1,22:14:00,sample,orn-amc,2,killed,800,28978.21
1,22:14:00,sample,orn-amc,3,killed,800,24507.59
1,22:14:00,sample,phe-arg-amc,1,killed,800,11073.63
1,22:14:00,sample,phe-arg-amc,2,killed,800,13866.15
1,22:14:00,sample,phe-arg-amc,3,killed,800,11388.45
1,22:14:00,sample,phe-val-arg-amc,1,killed,800,14066.79
1,22:14:00,sample,phe-val-arg-amc,2,killed,800,11456.78
1,22:14:00,sample,phe-val-arg-amc,3,killed,800,11697.67
1,22:14:00,standard,mub-po4,NA,buffer,800,738387.75
