depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
68.12,18:45:00,sample,pro-amc,2,live,800,159.75
68.12,18:45:00,sample,pro-amc,3,live,800,273.2
68.12,18:45:00,sample,orn-amc,1,live,800,1270.29
68.12,18:45:00,sample,orn-amc,2,live,800,1154.92
68.12,18:45:00,sample,orn-amc,3,live,800,1249.43
68.12,18:45:00,sample,phe-arg-amc,1,live,800,681.4
68.12,18:45:00,sample,phe-arg-amc,2,live,800,637.58
68.12,18:45:00,sample,phe-arg-amc,3,live,800,556.22
68.12,18:45:00,sample,phe-val-arg-amc,1,live,800,365.92
68.12,18:45:00,sample,phe-val-arg-amc,2,live,800,435.56
68.12,18:45:00,sample,phe-val-arg-amc,3,live,800,378.47
68.12,18:45:00,sample,mub-po4,1,killed,800,1234.87
68.12,18:45:00,sample,mub-po4,2,killed,800,1115.11
68.12,18:45:00,sample,mub-po4,3,killed,800,1834.77
68.12,18:45:00,sample,mub-xylo,1,killed,800,72.16
68.12,18:45:00,sample,mub-xylo,2,killed,800,64.26
68.12,18:45:00,sample,mub-xylo,3,killed,800,66.5
68.12,18:45:00,sample,mub-cell,1,killed,800,89.23
68.12,18:45:00,sample,mub-cell,2,killed,800,71.81
68.12,18:45:00,sample,mub-cell,3,killed,800,277.83
68.12,18:45:00,sample,mub-nag,1,killed,800,187.45
68.12,18:45:00,sample,mub-nag,2,killed,800,213.11
68.12,18:45:00,sample,mub-nag,3,killed,800,180.24
68.12,18:45:00,sample,mub-b-glu,1,killed,800,55.06
68.12,18:45:00,sample,mub-b-glu,2,killed,800,58.35
68.12,18:45:00,sample,mub-b-glu,3,killed,800,77.69
68.12,18:45:00,sample,mub-a-glu,1,killed,800,65.34
68.12,18:45:00,sample,mub-a-glu,2,killed,800,64.55
68.12,18:45:00,sample,mub-a-glu,3,killed,800,89.45
68.12,18:45:00,sample,leu-amc,1,killed,800,228.69
68.12,18:45:00,sample,leu-amc,2,killed,800,204.73
68.12,18:45:00,sample,leu-amc,3,killed,800,216.22
68.12,18:45:00,sample,arg-amc,1,killed,800,153.04
68.12,18:45:00,sample,arg-amc,2,killed,800,156.32
68.12,18:45:00,sample,arg-amc,3,killed,800,150.98
68.12,18:45:00,sample,pro-amc,1,killed,800,147.65
68.12,18:45:00,sample,pro-amc,2,killed,800,147.83
68.12,18:45:00,sample,pro-amc,3,killed,800,139.91
68.12,18:45:00,sample,orn-amc,1,killed,800,1024.96
68.12,18:45:00,sample,orn-amc,2,killed,800,1165.75
68.12,18:45:00,sample,orn-amc,3,killed,800,1189.76
68.12,18:45:00,sample,phe-arg-amc,1,killed,800,617.89
68.12,18:45:00,sample,phe-arg-amc,2,killed,800,574.74
68.12,18:45:00,sample,phe-arg-amc,3,killed,800,671.54
68.12,18:45:00,sample,phe-val-arg-amc,1,killed,800,410.62
68.12,18:45:00,sample,phe-val-arg-amc,2,killed,800,407.75
68.12,18:45:00,sample,phe-val-arg-amc,3,killed,800,424.12
68.12,18:45:00,standard,mub-po4,NA,buffer,800,261138.42
68.12,18:45:00,standard,mub-xylo,NA,buffer,800,5669.55
68.12,18:45:00,standard,mub-cell,NA,buffer,800,14095.44
68.12,18:45:00,standard,mub-nag,NA,buffer,800,43969.77
68.12,18:45:00,standard,mub-b-glu,NA,buffer,800,3114.17
68.12,18:45:00,standard,mub-a-glu,NA,buffer,800,4925.6
68.12,18:45:00,standard,leu-amc,NA,buffer,800,158802.5
68.12,18:45:00,standard,arg-amc,NA,buffer,800,205558.06
68.12,18:45:00,standard,pro-amc,NA,buffer,800,165411.81
68.12,18:45:00,standard,orn-amc,NA,buffer,800,717789.87
68.12,18:45:00,standard,phe-arg-amc,NA,buffer,800,436780.68
68.12,18:45:00,standard,phe-val-arg-amc,NA,buffer,800,480012.12
68.12,18:45:00,standard,mub-std,NA,buffer,40,
68.12,18:45:00,standard,amc-std,NA,buffer,40,
68.12,18:45:00,calib,mub-std,NA,live,0,50.81
68.12,18:45:00,calib,mub-std,NA,live,16,3214.03
68.12,18:45:00,calib,mub-std,NA,live,32,6568.9
68.12,18:45:00,calib,mub-std,NA,live,48,15041.55
68.12,18:45:00,calib,mub-std,NA,live,64,24605.87
68.12,18:45:00,calib,mub-std,NA,live,80,
68.12,18:45:00,calib,amc-std,NA,live,0,114.3
68.12,18:45:00,calib,amc-std,NA,live,16,8122.14
68.12,18:45:00,calib,amc-std,NA,live,32,14649.66
68.12,18:45:00,calib,amc-std,NA,live,48,22114.96
68.12,18:45:00,calib,amc-std,NA,live,64,31075.69
68.12,18:45:00,calib,amc-std,NA,live,80,41838
68.12,22:25:00,sample,mub-po4,1,live,800,2127.12
68.12,22:25:00,sample,mub-po4,2,live,800,2126.42
68.12,22:25:00,sample,mub-po4,3,live,800,2268.89
68.12,22:25:00,sample,mub-xylo,1,live,800,65.07
68.12,22:25:00,sample,mub-xylo,2,live,800,121.21
68.12,22:25:00,sample,mub-xylo,3,live,800,116.45
68.12,22:25:00,sample,mub-cell,1,live,800,91.33
68.12,22:25:00,sample,mub-cell,2,live,800,90.95
